#           time             counts unit events
     9.471380950             64,369      cache-misses                                                
     9.521482327             61,981      cache-misses                                                
     9.571587856             58,796      cache-misses                                                
     9.621694415             66,463      cache-misses                                                
     9.671807431             64,467      cache-misses                                                
     9.721915965             65,039      cache-misses                                                
     9.772024009             63,839      cache-misses                                                
     9.822129815             57,728      cache-misses                                                
     9.872243874             65,826      cache-misses                                                
     9.922344721             65,151      cache-misses                                                
     9.972460976             67,715      cache-misses                                                
    10.022568267             63,506      cache-misses                                                
#           time             counts unit events
    10.072676109             66,786      cache-misses                                                
    10.122783124             62,790      cache-misses                                                
    10.172891094             66,614      cache-misses                                                
    10.222997633             64,175      cache-misses                                                
    10.273107246             62,758      cache-misses                                                
    10.323209807             65,984      cache-misses                                                
    10.373335048             54,749      cache-misses                                                
    10.423438469             49,194      cache-misses                                                
    10.473544065             50,536      cache-misses                                                
    10.523653708             49,994      cache-misses                                                
    10.573770902             66,566      cache-misses                                                
    10.623876922             65,252      cache-misses                                                
    10.673978825             66,037      cache-misses                                                
    10.724088360             62,636      cache-misses                                                
    10.774194618             64,042      cache-misses                                                
    10.824300856             63,360      cache-misses                                                
    10.874410933             64,349      cache-misses                                                
    10.924510943             61,426      cache-misses                                                
    10.974616402             56,865      cache-misses                                                
    11.024719396             63,652      cache-misses                                                
    11.074825683             64,016      cache-misses                                                
    11.124933325             67,828      cache-misses                                                
    11.175044415             64,516      cache-misses                                                
    11.225147982             66,492      cache-misses                                                
    11.275255445             62,982      cache-misses                                                
#           time             counts unit events
    11.325362964             67,579      cache-misses                                                
    11.375477697             67,083      cache-misses                                                
    11.425583672             65,829      cache-misses                                                
    11.475698541             61,007      cache-misses                                                
    11.525820573             64,988      cache-misses                                                
    11.575933989             63,257      cache-misses                                                
    11.626049609             65,283      cache-misses                                                
    11.676162382             62,949      cache-misses                                                
    11.726271843             61,114      cache-misses                                                
    11.776385471             60,909      cache-misses                                                
    11.826494762             56,517      cache-misses                                                
    11.876604599             60,907      cache-misses                                                
    11.926718981             61,977      cache-misses                                                
    11.976825844             59,002      cache-misses                                                
    12.026933281             61,027      cache-misses                                                
    12.077074545             58,769      cache-misses                                                
    12.127200118             61,708      cache-misses                                                
    12.177306255             61,861      cache-misses                                                
    12.227413579             61,113      cache-misses                                                
    12.277521121             62,191      cache-misses                                                
    12.327630305             61,440      cache-misses                                                
