#           time             counts unit events
     6.620653401             95,427      cache-misses                                                
     6.670775399            106,423      cache-misses                                                
     6.720905557            111,592      cache-misses                                                
     6.771043175            115,765      cache-misses                                                
     6.821165467            111,808      cache-misses                                                
     6.871281644            113,625      cache-misses                                                
     6.921391314            109,795      cache-misses                                                
     6.971509269            109,215      cache-misses                                                
     7.021627531            113,145      cache-misses                                                
     7.071749033            116,456      cache-misses                                                
     7.121863085            114,747      cache-misses                                                
     7.171974376            115,734      cache-misses                                                
     7.222099585            116,608      cache-misses                                                
     7.272212103            109,865      cache-misses                                                
     7.322329181            111,017      cache-misses                                                
     7.372439098            112,751      cache-misses                                                
     7.422562357            108,115      cache-misses                                                
     7.472691885            105,786      cache-misses                                                
     7.522811083            107,928      cache-misses                                                
#           time             counts unit events
     7.572926132            109,651      cache-misses                                                
     7.623047081            107,892      cache-misses                                                
     7.673157075            106,090      cache-misses                                                
     7.723278583            110,201      cache-misses                                                
     7.773394609            108,346      cache-misses                                                
     7.823519694            108,270      cache-misses                                                
     7.873639860            107,831      cache-misses                                                
     7.923761965            112,974      cache-misses                                                
     7.973873094            112,501      cache-misses                                                
     8.023990884            113,822      cache-misses                                                
     8.074101509            113,868      cache-misses                                                
     8.124206218            111,043      cache-misses                                                
     8.174331721            116,504      cache-misses                                                
     8.224458314            109,955      cache-misses                                                
     8.274574519            114,275      cache-misses                                                
     8.324690284            122,683      cache-misses                                                
     8.374806524            111,089      cache-misses                                                
     8.424907564            113,775      cache-misses                                                
     8.475015772            112,029      cache-misses                                                
     8.525126867            111,554      cache-misses                                                
     8.575231436            113,246      cache-misses                                                
     8.625347293            115,247      cache-misses                                                
     8.675465525            113,098      cache-misses                                                
     8.725580308            110,249      cache-misses                                                
     8.775695957            114,842      cache-misses                                                
#           time             counts unit events
     8.825805911            113,641      cache-misses                                                
     8.875928193            115,165      cache-misses                                                
     8.926049167            117,391      cache-misses                                                
     8.976184469            114,626      cache-misses                                                
     9.026306700            117,618      cache-misses                                                
     9.076422388            119,087      cache-misses                                                
     9.126544494            114,678      cache-misses                                                
     9.176658743            117,884      cache-misses                                                
     9.226770523            119,581      cache-misses                                                
     9.276886864            117,783      cache-misses                                                
     9.326997226            118,201      cache-misses                                                
     9.377110154            119,182      cache-misses                                                
     9.427216787            112,817      cache-misses                                                
     9.477343236            117,966      cache-misses                                                
     9.527458324            119,751      cache-misses                                                
     9.577581121            117,990      cache-misses                                                
     9.627698010            117,732      cache-misses                                                
     9.677816376            118,128      cache-misses                                                
     9.727926033            116,338      cache-misses                                                
     9.778044273            117,295      cache-misses                                                
     9.828167839            115,767      cache-misses                                                
     9.878279606            118,118      cache-misses                                                
     9.928397635            119,634      cache-misses                                                
     9.978525268            117,931      cache-misses                                                
    10.028630079            117,916      cache-misses                                                
#           time             counts unit events
    10.078750569            118,526      cache-misses                                                
    10.128870319            113,385      cache-misses                                                
    10.178980793            113,516      cache-misses                                                
    10.229094514            114,255      cache-misses                                                
    10.279208216            125,252      cache-misses                                                
    10.329334789            104,319      cache-misses                                                
    10.379456667            104,285      cache-misses                                                
    10.429567550             98,920      cache-misses                                                
    10.479694190            102,496      cache-misses                                                
    10.529820588            106,802      cache-misses                                                
    10.579937627            112,532      cache-misses                                                
    10.630052452            100,501      cache-misses                                                
    10.680165490            125,181      cache-misses                                                
    10.730280033            117,431      cache-misses                                                
    10.780391389            112,562      cache-misses                                                
    10.830506126            110,473      cache-misses                                                
    10.880614507            111,258      cache-misses                                                
    10.930737589            122,480      cache-misses                                                
    10.980849284            119,690      cache-misses                                                
    11.030960091            117,120      cache-misses                                                
    11.081075884            116,537      cache-misses                                                
    11.131196472            116,974      cache-misses                                                
    11.181309520            116,214      cache-misses                                                
    11.231432042            119,175      cache-misses                                                
    11.281559371            115,140      cache-misses                                                
#           time             counts unit events
    11.331699035            126,305      cache-misses                                                
    11.381814761            115,373      cache-misses                                                
    11.431929382            114,203      cache-misses                                                
    11.482051469            139,015      cache-misses                                                
    11.532158631            173,715      cache-misses                                                
    11.582282753            174,361      cache-misses                                                
    11.632391188            167,306      cache-misses                                                
    11.682505895            138,112      cache-misses                                                
    11.732644268            117,032      cache-misses                                                
    11.782770684            142,121      cache-misses                                                
    11.832885825            145,470      cache-misses                                                
    11.882998366             95,095      cache-misses                                                
    11.933101275             94,266      cache-misses                                                
    11.983213721             94,782      cache-misses                                                
    12.033334283             93,777      cache-misses                                                
    12.083459374             94,902      cache-misses                                                
    12.133576896             93,652      cache-misses                                                
    12.183698407             93,929      cache-misses                                                
    12.233805972             93,222      cache-misses                                                
    12.283917091             94,403      cache-misses                                                
    12.334042438             94,831      cache-misses                                                
    12.384157011            104,645      cache-misses                                                
    12.434276402            108,564      cache-misses                                                
    12.484393165            104,749      cache-misses                                                
    12.534517119            109,119      cache-misses                                                
#           time             counts unit events
    12.584647804            114,631      cache-misses                                                
    12.634777871            196,764      cache-misses                                                
    12.684898203            394,799      cache-misses                                                
    12.735019830            113,766      cache-misses                                                
    12.785130783            116,424      cache-misses                                                
    12.835241845            112,830      cache-misses                                                
    12.885352425            311,317      cache-misses                                                
    12.935464471            138,052      cache-misses                                                
    12.985577004            101,784      cache-misses                                                
    13.035689045            114,628      cache-misses                                                
    13.085803603            115,240      cache-misses                                                
    13.135910987            116,071      cache-misses                                                
    13.186024153            112,885      cache-misses                                                
    13.236137953            106,251      cache-misses                                                
    13.286255740            102,218      cache-misses                                                
    13.336366989            106,953      cache-misses                                                
    13.386488639            118,756      cache-misses                                                
    13.436603085            115,728      cache-misses                                                
    13.486718898            115,235      cache-misses                                                
    13.536826453            116,962      cache-misses                                                
    13.586946613            118,176      cache-misses                                                
    13.637061579            115,770      cache-misses                                                
    13.687174353             95,505      cache-misses                                                
    13.737285992             93,648      cache-misses                                                
    13.787396873            112,177      cache-misses                                                
#           time             counts unit events
    13.837515095            103,140      cache-misses                                                
    13.887639971            102,459      cache-misses                                                
